code_dept,annee,taux_chomage_moyen,taux_chomage_min,taux_chomage_max,nb_trimestres
01,1982,3.95,3.8,4.1,4
01,1983,4.35,4.2,4.6,4
01,1984,5.22,4.9,5.6,4
01,1985,5.48,5.2,5.7,4
01,1986,5.38,5.2,5.5,4
01,1987,5.32,5.2,5.5,4
01,1988,4.92,4.7,5.1,4
01,1989,4.35,4.1,4.6,4
01,1990,4.05,4.0,4.2,4
01,1991,4.62,4.3,5.0,4
01,1992,5.78,5.3,6.3,4
01,1993,7.02,6.6,7.4,4
01,1994,7.4,7.1,7.6,4
01,1995,6.68,6.6,6.8,4
01,1996,6.78,6.7,6.9,4
01,1997,6.62,6.5,6.8,4
01,1998,6.05,6.0,6.2,4
01,1999,5.92,5.6,6.1,4
01,2000,4.5,3.9,5.1,4
01,2001,3.88,3.7,4.2,4
01,2002,4.45,4.3,4.6,4
01,2003,5.15,5.0,5.4,4
01,2004,5.45,5.4,5.5,4
01,2005,5.52,5.3,5.7,4
01,2006,5.4,5.2,5.6,4
01,2007,4.93,4.7,5.2,4
01,2008,4.8,4.4,5.4,4
01,2009,6.88,6.3,7.3,4
01,2010,6.75,6.5,7.0,4
01,2011,6.32,6.2,6.5,4
01,2012,6.85,6.6,7.1,4
01,2013,7.2,7.0,7.3,4
01,2014,7.08,6.9,7.3,4
01,2015,7.35,7.3,7.5,4
01,2016,7.35,7.3,7.4,4
01,2017,6.75,6.3,7.0,4
01,2018,6.3,6.2,6.4,4
01,2019,6.05,6.0,6.2,4
01,2020,6.07,5.6,6.8,4
01,2021,5.9,5.5,6.2,4
01,2022,5.4,5.3,5.5,4
01,2023,5.48,5.2,5.7,4
01,2024,5.52,5.5,5.6,4
01,2025,5.68,5.6,5.8,4
02,1982,8.38,8.2,8.5,4
02,1983,8.7,8.5,9.1,4
02,1984,10.15,9.6,10.5,4
02,1985,10.38,10.3,10.5,4
02,1986,10.42,10.2,10.6,4
02,1987,10.4,10.3,10.6,4
02,1988,10.2,10.0,10.4,4
02,1989,9.3,9.1,9.7,4
02,1990,8.7,8.5,8.9,4
02,1991,8.48,8.2,8.8,4
02,1992,9.25,9.1,9.4,4
02,1993,10.45,9.7,11.2,4
02,1994,11.62,11.5,11.7,4
02,1995,10.95,10.8,11.2,4
02,1996,11.48,11.2,11.7,4
02,1997,11.88,11.8,11.9,4
02,1998,11.5,11.4,11.6,4
02,1999,11.48,11.2,11.7,4
02,2000,10.35,10.0,10.8,4
02,2001,9.7,9.5,9.9,4
02,2002,9.33,9.3,9.4,4
02,2003,10.05,9.9,10.3,4
02,2004,10.5,10.4,10.6,4
02,2005,10.9,10.4,11.4,4
02,2006,11.08,10.6,11.4,4
02,2007,10.17,9.7,10.7,4
02,2008,9.78,9.3,10.3,4
02,2009,12.12,11.3,12.7,4
02,2010,12.5,12.5,12.5,4
02,2011,12.62,12.5,13.0,4
02,2012,13.68,13.3,14.2,4
02,2013,14.2,13.9,14.4,4
02,2014,13.9,13.8,14.0,4
02,2015,13.85,13.8,14.0,4
02,2016,13.62,13.4,13.8,4
02,2017,12.98,12.5,13.2,4
02,2018,12.38,12.0,12.9,4
02,2019,11.6,11.3,12.1,4
02,2020,10.98,9.6,12.1,4
02,2021,10.95,10.6,11.3,4
02,2022,10.35,10.2,10.5,4
02,2023,10.45,10.3,10.7,4
02,2024,10.42,10.0,10.7,4
02,2025,10.35,10.2,10.6,4
03,1982,7.55,7.3,7.7,4
03,1983,7.9,7.7,8.4,4
03,1984,10.2,9.3,10.7,4
03,1985,10.6,10.4,10.7,4
03,1986,10.78,10.5,11.0,4
03,1987,10.95,10.7,11.3,4
03,1988,10.58,10.4,10.7,4
03,1989,10.05,9.9,10.2,4
03,1990,10.25,10.1,10.3,4
03,1991,10.45,10.3,10.6,4
03,1992,10.6,10.5,10.8,4
03,1993,10.7,10.3,11.2,4
03,1994,11.3,11.0,11.5,4
03,1995,10.45,10.2,10.7,4
03,1996,11.15,10.9,11.3,4
03,1997,11.12,10.9,11.2,4
03,1998,10.38,10.3,10.5,4
03,1999,10.05,9.6,10.3,4
03,2000,8.48,8.2,9.0,4
03,2001,8.02,7.7,8.4,4
03,2002,7.58,7.5,7.7,4
03,2003,7.9,7.8,8.1,4
03,2004,8.35,8.2,8.5,4
03,2005,8.4,8.1,8.7,4
03,2006,8.5,8.1,8.7,4
03,2007,7.72,7.2,8.2,4
03,2008,7.25,6.8,7.8,4
03,2009,9.05,8.6,9.5,4
03,2010,9.15,9.1,9.2,4
03,2011,9.18,9.0,9.4,4
03,2012,9.82,9.5,10.2,4
03,2013,10.2,10.1,10.3,4
03,2014,10.28,10.1,10.5,4
03,2015,10.58,10.4,10.7,4
03,2016,10.38,10.2,10.6,4
03,2017,9.7,9.3,9.9,4
03,2018,9.35,9.1,9.6,4
03,2019,8.9,8.7,9.2,4
03,2020,8.45,7.8,9.4,4
03,2021,8.15,7.8,8.4,4
03,2022,7.62,7.4,7.8,4
03,2023,7.72,7.5,7.9,4
03,2024,7.88,7.8,7.9,4
03,2025,7.98,7.8,8.2,4
04,1982,5.75,5.5,6.0,4
04,1983,6.3,6.1,6.6,4
04,1984,7.1,6.8,7.5,4
04,1985,7.6,7.4,7.7,4
04,1986,7.48,7.3,7.6,4
04,1987,7.15,7.0,7.4,4
04,1988,6.9,6.8,7.0,4
04,1989,6.7,6.6,6.8,4
04,1990,7.22,7.0,7.3,4
04,1991,7.32,7.1,7.7,4
04,1992,8.45,8.2,8.7,4
04,1993,9.25,9.0,9.5,4
04,1994,9.62,9.5,9.7,4
04,1995,9.15,8.9,9.4,4
04,1996,9.78,9.5,10.0,4
04,1997,10.35,10.1,10.5,4
04,1998,10.42,10.4,10.5,4
04,1999,10.38,10.1,10.6,4
04,2000,9.48,9.1,9.9,4
04,2001,8.9,8.8,9.0,4
04,2002,8.62,8.5,8.8,4
04,2003,8.7,8.5,8.8,4
04,2004,8.8,8.5,9.0,4
04,2005,9.02,8.8,9.3,4
04,2006,9.1,8.7,9.4,4
04,2007,8.68,8.3,9.0,4
04,2008,8.18,7.9,8.6,4
04,2009,9.57,9.2,9.9,4
04,2010,9.62,9.6,9.7,4
04,2011,9.88,9.6,10.1,4
04,2012,10.58,10.2,11.0,4
04,2013,11.15,11.1,11.3,4
04,2014,11.2,11.0,11.4,4
04,2015,11.35,11.2,11.6,4
04,2016,11.08,10.9,11.2,4
04,2017,10.7,10.4,10.9,4
04,2018,10.4,10.1,10.7,4
04,2019,9.75,9.3,10.2,4
04,2020,9.12,8.4,10.2,4
04,2021,8.82,8.3,9.2,4
04,2022,8.22,8.1,8.3,4
04,2023,8.12,8.0,8.3,4
04,2024,7.92,7.7,8.1,4
04,2025,8.0,7.9,8.2,4
05,1982,5.03,4.9,5.3,4
05,1983,5.98,5.7,6.4,4
05,1984,6.72,6.7,6.8,4
05,1985,6.72,6.6,6.8,4
05,1986,6.78,6.5,6.9,4
05,1987,6.7,6.6,6.9,4
05,1988,6.62,6.6,6.7,4
05,1989,6.72,6.7,6.8,4
