code_dept,nb_arrondissement,nb_canton,nb_commune,pop_municipale,pop_totale,annee
01,4,23,392,663202,678981,2018
02,5,21,798,527468,539099,2018
03,3,19,317,334872,343485,2018
04,4,15,198,166077,170650,2018
05,2,15,162,140976,145357,2018
06,2,27,163,1103941,1117561,2018
07,3,17,335,331415,340043,2018
08,4,19,449,268859,274783,2018
09,3,13,326,154596,158578,2018
10,3,17,431,311329,318127,2018
11,3,19,433,376028,384450,2018
12,3,23,285,279649,289766,2018
13,4,29,119,2056943,2080998,2018
14,4,25,528,700633,714356,2018
15,3,15,246,144226,149155,2018
16,3,19,363,350867,359610,2018
17,5,27,463,661404,677039,2018
18,3,19,287,299573,306465,2018
19,3,19,279,239784,247459,2018
21,3,23,698,535503,547138,2018
22,4,27,348,605917,623633,2018
23,2,15,256,115702,119065,2018
24,4,25,503,413730,424030,2018
25,3,19,571,547096,560754,2018
26,3,19,363,519458,532390,2018
27,3,23,585,598934,612288,2018
28,4,15,365,431277,441129,2018
29,4,27,277,921638,946331,2018
2A,2,11,124,162942,165307,2018
2B,3,15,236,184655,187252,2018
30,3,23,351,756543,770043,2018
31,3,27,586,1434367,1457716,2018
32,3,17,461,192437,198905,2018
33,6,33,535,1654970,1680669,2018
34,3,25,342,1201883,1219776,2018
35,4,27,333,1098325,1122750,2018
36,4,13,241,217228,222879,2018
37,3,19,272,612160,624289,2018
38,3,29,512,1284948,1309888,2018
39,3,17,494,258555,267533,2018
40,2,15,327,422976,435050,2018
41,3,15,267,328504,336885,2018
42,3,21,323,769029,782907,2018
43,3,19,257,227284,233980,2018
44,3,31,207,1457806,1486833,2018
45,3,21,325,684561,699096,2018
46,3,17,313,174942,180437,2018
47,4,21,319,331229,339257,2018
48,2,13,152,76519,80081,2018
49,4,21,177,824743,844693,2018
50,4,27,445,495508,510539,2018
51,4,23,611,565292,576399,2018
52,3,17,426,171042,175896,2018
53,3,17,240,305933,315118,2018
54,4,23,591,732486,743895,2018
55,3,17,499,181919,187041,2018
56,3,21,249,768687,789829,2018
57,5,27,725,1049942,1068326,2018
58,4,17,309,202417,207621,2018
59,6,41,648,2611293,2641207,2018
60,4,21,679,828838,846339,2018
61,3,21,385,276973,284521,2018
62,7,39,890,1461441,1482950,2018
63,5,31,464,662285,676534,2018
64,3,27,546,693027,711741,2018
65,3,17,469,230956,236859,2018
66,3,17,226,487307,495307,2018
67,5,23,514,1152662,1168423,2018
68,4,17,366,767083,781133,2018
69,2,13,267,1893692,1919547,2018
70,2,17,539,234296,240393,2018
71,5,29,564,549288,564586,2018
72,3,21,354,566058,579051,2018
73,3,19,273,442468,454800,2018
74,4,17,279,841482,862452,2018
75,1,,1,2133111,2149216,2018
76,3,35,708,1255918,1276398,2018
77,5,23,507,1438100,1454221,2018
78,4,21,259,1456365,1480274,2018
79,3,17,256,374587,384784,2018
80,4,23,772,566252,576070,2018
81,2,23,314,393572,403762,2018
82,2,15,195,263377,269088,2018
83,3,23,153,1095337,1112053,2018
84,3,17,151,564566,575275,2018
85,3,17,255,699459,718405,2018
86,3,19,266,439385,449593,2018
