code_dept,annee,bure__activites_financieres__autres_formes,bure__activites_financieres__entrepreneur_individuel,bure__activites_financieres__sarl,bure__activites_financieres__sas_sasu,bure__activites_financieres__total,bure__administration_sante_education__autres_formes,bure__administration_sante_education__entrepreneur_individuel,bure__administration_sante_education__sarl,bure__administration_sante_education__sas_sasu,bure__administration_sante_education__total,bure__autres_services__autres_formes,bure__autres_services__entrepreneur_individuel,bure__autres_services__sarl,bure__autres_services__sas_sasu,bure__autres_services__total,bure__commerce_transport_hebergement__autres_formes,bure__commerce_transport_hebergement__entrepreneur_individuel,bure__commerce_transport_hebergement__sarl,bure__commerce_transport_hebergement__sas_sasu,bure__commerce_transport_hebergement__total,bure__construction__autres_formes,bure__construction__entrepreneur_individuel,bure__construction__sarl,bure__construction__sas_sasu,bure__construction__total,bure__immobilier__autres_formes,bure__immobilier__entrepreneur_individuel,bure__immobilier__sarl,bure__immobilier__sas_sasu,bure__immobilier__total,bure__industrie_extractive_energie__autres_formes,bure__industrie_extractive_energie__entrepreneur_individuel,bure__industrie_extractive_energie__sarl,bure__industrie_extractive_energie__sas_sasu,bure__industrie_extractive_energie__total,bure__industrie_manufacturiere__autres_formes,bure__industrie_manufacturiere__entrepreneur_individuel,bure__industrie_manufacturiere__sarl,bure__industrie_manufacturiere__sas_sasu,bure__industrie_manufacturiere__total,bure__information_communication__autres_formes,bure__information_communication__entrepreneur_individuel,bure__information_communication__sarl,bure__information_communication__sas_sasu,bure__information_communication__total,bure__total__autres_formes,bure__total__entrepreneur_individuel,bure__total__sarl,bure__total__sas_sasu,bure__total__total
01,2012,17,70,74,26,187,16,1099,64,18,1197,9,887,94,15,1005,15,2020,675,106,2816,24,932,341,48,1345,89,97,93,25,304,5,371,158,23,557,85,1352,346,90,1873,4,231,46,26,307,264,7059,1891,377,9591
01,2013,16,65,86,52,219,24,1081,56,26,1187,5,772,89,13,879,14,1961,552,185,2712,31,807,292,93,1223,52,88,55,56,251,3,381,145,57,586,92,1216,333,130,1771,0,182,49,25,256,237,6553,1657,637,9084
01,2014,21,78,84,61,244,24,1018,56,27,1125,6,738,81,39,864,11,2065,578,283,2937,28,803,221,137,1189,17,83,66,62,228,2,386,117,59,564,41,1222,283,196,1742,3,168,37,38,246,153,6561,1523,902,9139
01,2015,27,56,66,79,228,21,1040,56,67,1184,7,607,67,66,747,14,1953,519,447,2933,31,622,183,172,1008,26,102,75,69,272,6,280,100,92,478,44,1035,242,297,1618,1,155,25,49,230,177,5850,1333,1338,8698
01,2016,16,39,70,68,193,22,948,39,82,1091,6,615,60,99,780,13,1946,396,645,3000,35,567,172,266,1040,42,159,68,122,391,5,250,73,149,477,48,1065,223,471,1807,3,171,29,86,289,190,5760,1130,1988,9068
01,2017,34,30,65,80,209,12,1049,46,76,1183,5,648,47,99,799,10,1965,361,795,3131,28,566,155,323,1072,73,202,76,102,453,29,291,77,180,577,46,1088,231,509,1874,3,154,20,98,275,240,5993,1078,2262,9573
01,2018,27,57,73,66,223,14,1141,50,77,1282,7,802,49,132,990,20,2299,342,828,3489,41,716,168,319,1244,92,167,78,116,453,8,326,83,205,622,474,1371,233,639,2717,0,221,26,75,322,683,7100,1102,2457,11342
01,2019,38,50,71,98,257,10,1205,59,96,1370,5,1051,60,128,1244,10,2714,350,806,3880,37,941,174,335,1487,102,272,76,192,642,1,539,98,196,834,309,1757,251,567,2884,0,258,20,67,345,512,8787,1159,2485,12943
01,2020,29,59,50,131,269,13,1153,57,97,1320,0,988,45,125,1158,8,2998,323,789,4118,31,863,173,336,1403,150,338,67,134,689,2,520,44,211,777,199,1711,218,581,2709,1,288,27,99,415,433,8918,1004,2503,12858
01,2021,53,80,65,189,387,9,1233,53,113,1408,2,1362,65,156,1585,13,3022,373,969,4377,25,961,195,426,1607,158,329,94,182,763,6,637,89,210,942,292,2099,250,739,3380,0,349,23,94,466,558,10072,1207,3078,14915
01,2022,48,66,82,264,460,4,1378,60,124,1566,2,1732,88,189,2011,17,2753,406,942,4118,43,1050,220,417,1730,147,304,123,206,780,0,782,90,276,1148,315,2503,296,758,3872,0,443,33,105,581,576,11011,1398,3281,16266
01,2023,43,54,72,220,389,5,1421,49,92,1567,3,1635,86,158,1882,12,2964,372,908,4256,43,952,192,356,1543,250,290,98,171,809,4,849,60,232,1145,286,2788,267,713,4054,3,597,25,99,724,649,11550,1221,2949,16369
01,2024,42,51,84,292,469,8,1420,61,102,1591,3,1693,62,200,1958,16,3536,370,995,4917,43,969,185,372,1569,30,246,140,199,615,3,968,73,263,1307,323,2936,286,787,4332,1,492,25,90,608,469,12311,1286,3300,17366
02,2012,27,75,53,21,176,6,679,53,8,746,8,689,80,11,788,7,1346,559,68,1980,42,701,273,27,1043,10,80,48,18,156,1,272,108,15,396,1036,973,262,71,2342,1,148,34,23,206,1138,4963,1470,262,7833
02,2013,29,39,39,31,138,19,700,49,11,779,5,602,76,16,699,10,1404,480,124,2018,25,588,255,57,925,18,61,51,10,140,7,228,91,24,350,1519,823,232,110,2684,1,148,34,18,201,1633,4593,1307,401,7934
02,2014,35,32,49,32,148,13,660,49,20,742,4,537,71,47,659,7,1256,463,188,1914,24,475,195,81,775,16,65,62,27,170,2,219,71,48,340,1291,692,199,137,2319,0,109,25,28,162,1392,4045,1184,608,7229
02,2015,34,36,46,44,160,16,704,50,47,817,6,469,69,58,602,15,1296,398,338,2047,31,416,165,158,770,31,49,49,36,165,20,169,67,61,317,1014,628,168,191,2001,1,109,25,33,168,1168,3876,1037,966,7047
02,2016,26,21,47,37,131,11,675,32,51,769,5,421,43,92,561,10,1307,323,467,2107,19,423,137,191,770,21,59,54,57,191,0,161,53,104,318,1310,614,126,315,2365,2,101,17,59,179,1404,3782,832,1373,7391
02,2017,27,18,47,68,160,12,716,34,51,813,8,438,43,91,580,10,1485,307,472,2274,32,409,106,203,750,12,73,63,65,213,0,218,55,101,374,1571,715,171,306,2763,1,98,23,56,178,1673,4170,849,1413,8105
02,2018,28,25,48,44,145,6,709,36,60,811,3,475,57,92,627,4,1637,309,428,2378,26,411,132,192,761,28,80,57,44,209,2,216,55,103,376,1866,761,171,329,3127,0,128,19,43,190,1963,4442,884,1335,8624
02,2019,41,31,45,57,174,8,787,26,62,883,2,618,50,99,769,5,1803,314,502,2624,33,428,123,178,762,54,104,85,59,302,4,280,62,89,435,1449,1027,157,321,2954,1,160,14,49,224,1597,5238,876,1416,9127
02,2020,49,27,36,80,192,10,661,41,41,753,1,530,31,74,636,7,2015,267,509,2798,38,474,128,226,866,52,94,78,108,332,3,280,55,112,450,1837,1015,145,322,3319,0,161,13,55,229,1997,5257,794,1527,9575
02,2021,46,47,47,125,265,12,832,52,76,972,3,793,64,113,973,3,2174,342,658,3177,28,519,149,247,943,17,153,78,124,372,4,477,66,132,679,2775,1362,175,520,4832,1,238,24,73,336,2889,6595,997,2068,12549
02,2022,73,30,47,189,339,3,897,43,65,1008,3,1040,53,124,1220,14,1753,304,613,2684,40,520,142,267,969,10,128,69,122,329,0,578,69,102,749,3922,1571,176,505,6174,0,265,18,63,346,4065,6782,921,2050,13818
02,2023,54,37,37,120,248,6,882,51,55,994,3,977,56,115,1151,19,1773,310,562,2664,52,516,101,201,870,154,213,70,111,548,1,633,42,97,773,3337,1830,189,542,5898,1,355,15,52,423,3627,7216,871,1855,13569
02,2024,54,37,37,137,265,8,814,48,54,924,7,1121,66,141,1335,14,2035,289,618,2956,47,573,107,220,947,71,199,55,96,421,2,828,54,111,995,1688,1741,171,478,4078,0,308,15,73,396,1891,7656,842,1928,12317
03,2012,9,24,37,11,81,6,320,22,3,351,3,408,37,5,453,8,960,216,65,1249,30,515,133,29,707,14,61,26,42,143,1,200,96,24,321,20,487,104,327,938,0,74,15,4,93,91,3049,686,510,4336
03,2013,24,25,26,25,100,6,362,21,8,397,1,301,29,9,340,8,1024,239,105,1376,18,480,133,47,678,7,32,52,15,106,1,185,81,45,312,7,431,105,168,711,0,61,17,14,92,72,2901,703,436,4112
03,2014,11,12,43,21,87,7,382,19,16,424,2,333,25,30,390,9,975,198,125,1307,21,398,105,83,607,15,37,37,17,106,0,191,37,33,261,21,444,89,324,878,1,47,17,15,80,87,2819,570,664,4140
03,2015,16,25,22,18,81,14,395,13,25,447,1,261,12,25,299,10,912,170,161,1253,25,311,86,114,536,6,32,19,20,77,1,173,32,47,253,15,402,58,185,660,0,51,8,16,75,88,2562,420,611,3681
03,2016,10,20,26,20,76,5,376,9,28,418,5,252,20,25,302,6,847,145,196,1194,27,261,69,113,470,4,54,18,28,104,4,123,28,71,226,18,349,54,171,592,2,53,8,19,82,81,2335,377,671,3464
03,2017,8,18,21,31,78,4,367,6,27,404,5,235,16,31,287,3,898,110,218,1229,14,260,60,108,442,5,61,18,28,112,0,117,28,88,233,13,385,56,202,656,2,50,4,18,74,54,2391,319,751,3515
03,2018,14,31,31,25,101,2,391,22,31,446,1,262,19,35,317,4,949,119,255,1327,17,308,56,173,554,3,30,25,31,89,2,159,30,75,266,8,464,53,288,813,0,69,7,25,101,51,2663,362,938,4014
03,2019,16,30,23,39,108,4,433,14,21,472,3,345,24,39,411,5,1095,107,242,1449,17,313,43,199,572,3,36,15,40,94,2,181,25,77,285,7,537,57,241,842,0,69,5,28,102,57,3039,313,926,4335
03,2020,18,14,18,40,90,3,396,14,24,437,0,317,11,41,369,4,1392,90,266,1752,23,250,55,166,494,3,70,5,49,127,5,193,18,82,298,8,565,48,236,857,1,88,6,24,119,65,3285,265,928,4543
03,2021,19,22,24,72,137,2,518,35,46,601,3,451,21,58,533,12,1669,134,393,2208,29,334,66,260,689,3,76,16,72,167,1,293,21,129,444,30,738,45,347,1160,0,111,10,43,164,99,4212,372,1420,6103
03,2022,16,36,31,110,193,4,546,19,39,608,0,605,19,66,690,5,1468,121,365,1959,18,415,63,272,768,7,95,30,74,206,3,390,19,127,539,28,877,70,331,1306,0,132,5,36,173,81,4564,377,1420,6442
03,2023,12,35,20,90,157,3,500,31,34,568,1,611,21,82,715,6,1405,101,392,1904,44,420,45,320,829,3,113,21,67,204,3,433,21,131,588,83,1045,61,344,1533,0,209,5,34,248,155,4771,326,1494,6746
03,2024,5,19,20,102,146,4,522,20,53,599,6,580,21,75,682,6,1521,102,434,2063,31,423,53,353,860,3,107,22,68,200,0,437,22,140,599,61,1138,68,387,1654,0,179,6,36,221,116,4926,334,1648,7024
04,2012,7,30,81,32,150,11,1077,87,9,1184,5,786,96,17,904,8,2190,680,74,2952,70,768,298,20,1156,27,78,73,52,230,1,366,131,24,522,217,1027,278,96,1618,4,155,55,13,227,350,6477,1779,337,8943
04,2013,13,35,89,35,172,18,1152,86,17,1273,6,695,100,10,811,9,2018,676,122,2825,72,727,304,46,1149,23,87,81,67,258,1,379,123,33,536,112,892,250,86,1340,2,149,56,17,224,256,6134,1765,433,8588
04,2014,14,58,108,38,218,21,1217,80,25,1343,1,618,68,22,709,7,1924,696,185,2812,91,641,298,41,1071,17,102,79,49,247,4,288,139,48,479,189,801,253,142,1385,2,155,38,31,226,346,5804,1759,581,8490
04,2015,12,70,71,46,199,18,1126,93,26,1263,8,584,84,29,705,12,1854,603,256,2725,55,592,286,125,1058,11,92,65,50,218,7,251,103,55,416,275,760,218,179,1432,1,141,39,41,222,399,5470,1562,807,8238
04,2016,14,58,59,51,182,18,1263,66,46,1393,9,591,86,57,743,9,2048,518,362,2937,67,519,246,140,972,37,76,48,49,210,1,239,103,90,433,193,778,194,232,1397,2,109,27,49,187,350,5681,1347,1076,8454
04,2017,18,49,75,49,191,11,1222,56,57,1346,5,650,78,57,790,3,2425,503,399,3330,67,502,228,166,963,40,82,74,43,239,2,234,94,102,432,194,791,218,261,1464,1,138,26,54,219,341,6093,1352,1188,8974
04,2018,17,63,73,48,201,10,1325,55,35,1425,4,768,92,58,922,8,2495,460,322,3285,69,590,220,135,1014,25,106,59,40,230,2,254,96,73,425,328,1068,203,212,1811,1,173,24,35,233,464,6842,1282,958,9546
04,2019,23,61,71,70,225,12,1512,72,44,1640,2,929,93,51,1075,16,2616,472,337,3441,71,673,221,148,1113,17,114,60,48,239,4,364,78,75,521,241,1146,189,247,1823,0,200,19,32,251,386,7615,1275,1052,10328
04,2020,12,37,90,99,238,15,1408,90,63,1576,6,871,70,71,1018,23,3272,506,436,4237,87,651,244,158,1140,23,123,80,95,321,0,395,101,102,598,258,1213,252,328,2051,2,198,37,81,318,426,8168,1470,1433,11497
